,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Warranty,Price (AUD),Link
53,MSI,"Crosshair 16 HX AI 16"" QHD+ 240Hz Gaming Laptop (Intel Core Ultra 9) [GeForce RTX 5070]",16.0,IPS-Level,2560*1600,Intel Core Ultra 9,2.7,24 Core,,32,DDR5,2TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,2.5,1 Year,,2899,https://www.jbhifi.com.au/products/msi-crosshair-16-hx-ai-16-qhd-240hz-gaming-laptop-intel-core-ultra-9-geforce-rtx-5070
54,Lenovo,"Yoga Slim 7i Aura Edition 14"" 2.8K OLED Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,,8 Core,Integrated Intel® Arc™ Graphics 140V,32,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.19,1 Year,,1699,https://www.jbhifi.com.au/products/lenovo-yoga-slim-7i-aura-edition-14-2-8k-oled-laptop-intel-core-ultra-71tb
55,Lenovo,"IdeaPad Slim 3i 15.3"" 2K Laptop (Intel Core i7)[1TB]",15.3,IPS,1920 x 1200,Intel Core i7,2.4,10 Core,Integrated Intel® UHD Graphics,16,,1TB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,1599,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-15-3-2k-laptop-intel-core-i71tb
56,Dell,"15 DC15250 15.6"" FHD Laptop (Intel Core i5)[512GB]",15.6,WVA,1920 x 1080,Intel Core i5,,10 Core,Intel UHD Graphics,16,DDR4 SDRAM,512GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.94,1 Year,,749,https://www.jbhifi.com.au/products/dell-15-dc15250-15-6-fhd-laptop-intel-core-i5512gb
57,Lenovo,"Legion 5i 15.1"" WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5060]",15.1,OLED,2560 x 1600,Intel Core i7,,20 Core,,24,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.9,1 Year,,2197,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5060
58,Dell,"Inspiron 14 7440 14"" WUXGA 2-in-1 Laptop (Intel Core 7)[1TB]",14.0,WVA,1920 x 1200,Intel Core 7,,10 Core,Intel Graphics,16,DDR5 SDRAM,1TB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.74,1 Year,,1399,https://www.jbhifi.com.au/products/dell-inspiron-14-7440-14-wuxga-2-in-1-laptop-intel-core-71tb
59,Lenovo,"14"" OLED Touchscreen Chromebook Plus Laptop with Gemini (256GB)",14.0,OLED,1920 x 1200,MTK,,8 Core,Integrated Arm Immortalis-G925 MC,16,,256GB,Wi-Fi 7 (802.11 be),Google Chrome,,1 Year,,799,https://www.jbhifi.com.au/products/lenovo-14-oled-touchscreen-chromebook-plus-laptop-with-gemini-256gb
60,Lenovo,"Legion 5 Pro 16IAX10 16"" WQXGA 165Hz OLED Gaming Laptop (Intel Core Ultra 9)[GeForce RTX 5070 Ti]",16.0,OLED,2560 x 1600,Intel Core Ultra 9,,24 Core,,32,DDR5 SDRAM,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,2.42,1 Year,,3299,https://www.jbhifi.com.au/products/lenovo-legion-5-pro-16iax10-16-wqxga-165hz-oled-gaming-laptop-intel-core-ultra-9geforce-rtx-5070-ti
61,Dell,"DB16255 16"" WUXGA Copilot+ PC Laptop (Ryzen AI 7)[1TB]",16.0,LED,1920 x 1200,AMD Ryzen AI 7,,8 Core,AMD Radeon Graphics,16,LPDDR5,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.83,1 Year,,1399,https://www.jbhifi.com.au/products/dell-db16255-16-wuxga-copilot-pc-laptop-ryzen-ai-71tb
62,Lenovo,"LOQ 15.6"" FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 5050]",15.6,IPS,1920 x 1080,Intel Core i7,,14 Core,,24,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,2.4,1 Year,,1599,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-5050
63,Lenvo,"LOQ Essential 15.6"" FHD 144Hz Gaming Laptop (Intel Core i5)[GeForce RTX 4050]",15.6,IPS,1920 x 1080,Intel Core i5,,8 Core,,16,DDR5 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,1299,https://www.jbhifi.com.au/products/lenvo-loq-essential-15-6-fhd-144hz-gaming-laptop-intel-core-i5geforce-rtx-4050
